"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"4984682",0,0,0,0,0,0,0,1,6.08248560137009,5.47423704123308,4.92681333710977,4.43413200339879,3.99071880305891,3.59164692275302,3.23248223047772
"1666597",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3146209",0,0,0,1,0.9,0.81,0.729,0.6561,0.59049,0.531441,2.4089046394711,2.16801417552399,1.95121275797159,1.75609148217444,0.96991059609
"5009243",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4682921",0,0,0,0,0,0,0,3.38629436111989,3.0476649250079,2.74289843250711,2.4686085892564,2.22174773033076,1.99957295729769,1.79961566156792,0.9565938
"4766699",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2456335",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2677486",0,0,0,0,0,0,0,3.38629436111989,3.0476649250079,2.74289843250711,2.4686085892564,2.22174773033076,1.99957295729769,1.79961566156792,0.9565938
"5304535",0,0,0,1,0.9,0.81,0.729,0.6561,0.59049,0.531441,0.4782969,0.43046721,0.387420489,0.3486784401,0.31381059609
"5004776",1,0.9,0.81,0.729,0.6561,0.59049,0.531441,0.4782969,0.43046721,0.387420489,0.3486784401,0.31381059609,0.282429536481,0.2541865828329,0.22876792454961
"581548",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5149810",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
